Record,Weight,Date,Wrestler1,Team1,Wrestler2,Team2,Result,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
1647,125,3/3/2018,Mattin,Michigan,Piotrowski,Illinois,0.9,420,1,0,2,0,0,0,0,0,2,0,0,0,11,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,2,1,0,0,1,11,0,1,1,0,0
1648,125,3/3/2018,Piotrowski,Illinois,Mattin,Michigan,1.1,420,1,0,0,0,0,0,0,0,3,0,1,1,2,1,0,0,1,11,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,11,1,0,0,0,2,0,0,0,0,0
1649,125,3/3/2018,Lizak,Minnesota,Jiminez,Wisconsin,1.1,420,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1
1650,125,3/3/2018,Jiminez,Wisconsin,Lizak,Minnesota,0.9,420,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1651,125,3/3/2018,Kuhn,Penn State,Tomasello,Ohio State,0.5,351,1,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,5,2,2,2,0,0,0,0,3,3,0,0,0,2,0,4,5,1,0,1,0,0,0
1652,125,3/3/2018,Tomasello,Ohio State,Kuhn,Penn State,1.5,351,5,2,2,2,0,0,0,0,3,3,0,0,0,2,0,4,5,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
1653,125,3/3/2018,Welch,Purdue,Maginnis,Nebraska,1.1,420,1,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0
1654,125,3/3/2018,Maginnis,Nebraska,Welch,Purdue,0.9,420,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1
1655,125,3/3/2018,Foley,Michigan State,Oliver,Indiana,1.25,420,4,0,2,1,1,0,4,1,3,1,0,0,0,1,0,0,2,0,1,1,0,0,1,2,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1
1656,125,3/3/2018,Oliver,Indiana,Foley,Michigan State,0.75,420,2,0,2,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1,4,0,2,1,1,0,4,1,3,1,0,0,0,1,0,0,2,0,1,1,0,0,1
