Record,Weight,Date,WID,Wrestler1,Team1,Wrestler2,Team2,VS,Result,difVP,NAPM,NPF,Ride,Escaoe,Reversal,TD,LA,HI,HO,D,LS,COUNTER,THROW,APM,oTD,oLA,oHI,oHO,oD,oLS,Ocounter,oTHROW,oAPM,Laa,Lac,Tda,TDc,OPM,DPM,Ptotal,oLAa,oLAc,oTDa,oTDc,oPtotal,oOPM,oDPM,wResult,oppStrength,Seconds,Hia,Hic,Hoa,Hoc,Da,Dc,Lsa,LSc,Countera,Counterc,Throwa,Throwc,SU,E,R ,Cut,BD,MR,NF2,NF4,S ,TV,RT,oHIa,oHIc,oHOa,oHOc,oDa,oDc,oLSa,oLSc,oCountera,oCounterc,oThrowa,oThrowc,oSU,oE,oR,oCut,oBD,oMR,oNF2,oNF4,oS ,oTV,oRT
917,157,11/04/17,Jordan Ohio State 157,Jordan,Ohio State,Walden,UNAT,377.5,1,null,18,2,1,0,0,0.666666667,0.5,0.5,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,2,1,3,2,13.5,4.5,0,0,0,0,0,0,0,0,1.75,1,40,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,184,11/19/17,Nickal Penn State 184,Nickal,Penn State,Wagner,Virginia Military Institute,357.1226415,1,null,16.98113208,2,1,0,0,1,1,1,0,0,1,0,1,16.98113208,0,0,0,0,0,0,0,0,0,2,2,3,3,16.98113208,0,0,0,0,0,0,0,0,0,1.75,1,53,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,174,02/11/18,Skatzka Indiana 174,Skatzka,Indiana,Cody,Northwestern,350.8333333,1,null,16.66666667,2,1,0,0,1,1,0,1,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,1,1,1,1,16.66666667,0,0,0,0,0,0,0,0,0,1.75,1,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,184,11/09/17,Nickal Penn State 184,Nickal,Penn State,Stewart,Army,340.5769231,1,null,16.15384615,2,1,0,0,1,0,0,0,0,0,0,1,16.15384615,0,0,0,0,0,0,0,0,0,0,0,1,1,16.15384615,0,0,0,0,0,0,0,0,0,1.75,1,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,174,01/01/18,Hall Penn State 174,Hall,Penn State,Bolen,Virginia Tech,291.7857143,1,null,13.71428571,2,1,0,0,0.5,0,0,0,0,0,0,1,13.71428571,0,0,0,0,0,0,0,0,0,0,0,2,1,12,1.714285714,0,0,0,0,0,0,0,0,1.75,1,35,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148,141,03/03/18,Dippery Rider 141,Dippery,Rider,Orem,Bloomsburg,276.7021277,1,null,13.08510638,2,1,0,0,0.5,0.5,0.5,0,0,0,0,0,13.72340426,0,0,0,0,0,0,0,0,0.638297872,2,1,2,1,13.72340426,0,0,0,0,1,0,0,0,0.638297872,150,1,94,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,184,11/19/17,Nickal Penn State 184,Nickal,Penn State,Murphy,Drexel,248.2692308,1,null,11503846154,2,1,0,0,1,1,0,0,0,1,0,0,11503846154,0,0,0,0,0,0,0,0,0,1,1,1,1,11503846154,0,0,0,0,0,0,0,0,0,1.75,1,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2674,133,03/03/18,Desanto Drexel 133,Desanto,Drexel,Martoccio,Franklin & Marshall,246.3659794,1,null,11.44329897,2,0.5,0,0,0.8,0.75,0.666666667,1,0,0,1,0,13.91752577,0,0,0,0,0,0,0,0,2.474226804,4,3,5,4,12.06185567,1.855670103,0,0,0,3,0,0,0,2.474226804,1.75,1,97,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
441,197,01/05/18,Beazley Michigan 197,Beazley,Michigan,Irick,Indiana,242.5,1,null,15,1.5,1,0,0,1,0,0,0,0,0,0,1,17.30769231,0,0,0,0,0,0,0,0,2.307692308,0,0,1,1,17.30769231,0,0,1,0,1,0,0,2.307692308,0,1.75,1,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,197,03/03/18,Orndorff Utah Valley 197,Orndorff,Utah Valley,Hokit,Fresno State,235.9797933,1,88.18831748,15.07142857,1.8,0.333333333,1,0,0.5,0.5,0.5,0.333333333,1,0,0.5,0,14.14285714,0,0,0,0,0,0,0,0,-0.928571429,8,4,10,5,2.357142857,0.785714286,0,2,0,3,0,2,0.357142857,0.714285714,-3.530592096,-3.209629178,420,4,2,3,1,1,1,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,11,0,0,1,0,0,0,1,0,1,0,0,0,0,4,0,0,0,1,0,0,2,0,0
2773,149,03/03/18,Burkert Hofstra 149,Burkert,Hofstra,Oliva,Pennsylvania,235.2419355,1,null,14.51612903,1.5,1,0,0,0.5,0,0,0,0,0,1,0,16.4516129,0,0,0,0,0,0,0,0,1.935483871,0,0,2,1,10.64516129,5.806451613,0,1,0,1,0,0,1.935483871,0,1.75,1,31,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
